Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
13,tt0059269,2011-11-22,2011-11-22,,A High Wind in Jamaica,https://www.imdb.com/title/tt0059269/,movie,6.8,103,1965,"Adventure, Drama",1495,1965-05-26,Alexander Mackendrick
14,tt0042210,2016-12-04,2016-12-04,,Atoll K,https://www.imdb.com/title/tt0042210/,movie,5.6,100,1951,Comedy,1454,1951-10-17,"Alfred J. Goulding, John Berry, Léo Joannon, Tim Whelan"
15,tt0044333,2011-11-22,2011-11-22,,Against All Flags,https://www.imdb.com/title/tt0044333/,movie,6.7,84,1952,"Action, Adventure, Drama, Romance",1912,1952-12-24,George Sherman
16,tt0056291,2011-11-22,2012-02-14,"if you liked ""Dead Calm"" you may enjoy this one also.",Nóz w wodzie,https://www.imdb.com/title/tt0056291/,movie,7.6,94,1962,"Drama, Thriller",16946,1962-03-09,Roman Polanski
17,tt0079808,2011-12-01,2011-12-01,,The Riddle of the Sands,https://www.imdb.com/title/tt0079808/,movie,6.5,102,1979,"Adventure, Drama, Thriller",901,1979-03-16,Tony Maylam
18,tt0177971,2011-11-22,2011-11-22,,The Perfect Storm,https://www.imdb.com/title/tt0177971/,movie,6.4,130,2000,"Action, Adventure, Drama, Thriller",142969,2000-06-26,Wolfgang Petersen
19,tt0056264,2011-11-22,2011-11-22,,Mutiny on the Bounty,https://www.imdb.com/title/tt0056264/,movie,7.3,178,1962,"Adventure, Drama, History, Romance",12958,1962-11-08,"Carol Reed, Lewis Milestone"
20,tt0045039,2011-11-22,2011-11-22,,Plymouth Adventure,https://www.imdb.com/title/tt0045039/,movie,6.4,105,1952,"Adventure, Drama, History, Romance",987,1952-11-14,Clarence Brown
21,tt0044386,2011-11-22,2011-11-22,,Robinson Crusoe,https://www.imdb.com/title/tt0044386/,movie,6.9,90,1954,"Adventure, Drama",2920,1954-06-30,Luis Buñuel
22,tt0042474,2011-11-22,2011-11-22,,Fortunes of Captain Blood,https://www.imdb.com/title/tt0042474/,movie,5.7,91,1950,"Action, Adventure, Romance",239,1950-05-19,Gordon Douglas
23,tt1198405,2011-11-22,2011-11-22,,Morning Light,https://www.imdb.com/title/tt1198405/,movie,6.0,100,2008,"Documentary, Sport",324,2008-10-17,Mark Monroe
24,tt0129669,2011-11-22,2012-02-14,must watch,Captain James Cook,https://www.imdb.com/title/tt0129669/,tvMiniSeries,8.2,480,1988,"Biography, Drama",239,1988-04-16,
25,tt0034522,2011-11-23,2011-11-23,,The Black Swan,https://www.imdb.com/title/tt0034522/,movie,6.9,87,1942,"Action, Adventure, Drama, Family, History",3349,1942-12-04,Henry King
26,tt0103594,2011-11-23,2011-11-23,,1492: Conquest of Paradise,https://www.imdb.com/title/tt0103594/,movie,6.5,154,1992,"Adventure, Biography, Drama, History",25179,1992-10-08,Ridley Scott
27,tt0099810,2011-11-23,2011-11-23,,The Hunt for Red October,https://www.imdb.com/title/tt0099810/,movie,7.6,135,1990,"Action, Adventure, Thriller",157688,1990-03-02,John McTiernan
28,tt0033028,2011-11-23,2011-11-23,,The Sea Hawk,https://www.imdb.com/title/tt0033028/,movie,7.8,127,1940,"Action, Adventure, History, Romance",7922,1940-07-01,Michael Curtiz
29,tt0082096,2011-11-23,2011-11-23,,Das Boot,https://www.imdb.com/title/tt0082096/,movie,8.4,149,1981,"Adventure, Drama, Thriller, War",197882,1981-09-17,Wolfgang Petersen
30,tt0052365,2011-11-23,2011-11-23,,The Vikings,https://www.imdb.com/title/tt0052365/,movie,7.1,116,1958,"Action, Adventure",10744,1958-06-11,Richard Fleischer
31,tt1235796,2011-11-23,2011-11-23,,Ondine,https://www.imdb.com/title/tt1235796/,movie,6.8,111,2009,"Drama, Mystery, Romance",18411,2009-09-14,Neil Jordan
32,tt0095599,2011-11-26,2011-11-26,,Masquerade,https://www.imdb.com/title/tt0095599/,movie,6.0,91,1988,"Drama, Romance, Thriller",2795,1988-03-11,Bob Swaim
33,tt0210382,2011-11-27,2011-11-27,,The Weight of Water,https://www.imdb.com/title/tt0210382/,movie,5.9,113,2000,"Crime, Drama, Mystery, Thriller",8285,2000-09-09,Kathryn Bigelow
34,tt0108505,2011-11-27,2012-02-14,"if you enjoyed ""dead calm"" you may want to watch this one also",Voyage,https://www.imdb.com/title/tt0108505/,tvMovie,5.4,86,1993,Thriller,602,1993-06-02,John Mackenzie
35,tt0460766,2011-11-27,2012-02-14,interesting story. if you have time and nothing else to watch...,Deep Water,https://www.imdb.com/title/tt0460766/,movie,7.8,93,2006,"Documentary, History, Sport",2636,2006-09-03,"Jerry Rothwell, Louise Osmond"
36,tt1187064,2011-11-22,2012-02-14,excellent start up....,Triangle,https://www.imdb.com/title/tt1187064/,movie,6.9,99,2009,"Fantasy, Mystery, Thriller",83330,2009-08-27,Christopher Smith
